# Identifier (Identifier der Ressource im Quellsystem des Publishers): Traktanden_SR_2018_bis_Heute_CSV
# Titel (Titel der Datei): Traktanden_SR_2018 bis heute mit Beschlüsse
# Beschreibung (Datei-Informationen): Die Traktandenliste aller Geschäfte und Beschlüsse zu den Stadtratssitzungen der Stadt Bern.
# Sprache (Sprache in der diese Datei vorliegt): Deutsch
# Erstellt (Datum der Veröffentlichung dieser Datei): 01.12.2017
# Geändert (Datum der letzten Änderung dieser Datei): 27.05.2019
# Nutzungsbedingungen (Art der Nutzung und Angabepflicht): Freie Nutzung - Quellenangben ist Pflicht (Autor, Titel und Link zum Datensatz).
# Zugangs-URL (Die URL über welche auf die Ressource zugegriffen werden kann): https://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd
# Download-URL (URL der Datei um die Ressource direkt heruntergeladen werden kann): https://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd/download-stadtraetische-traktanden-und-beschluesse-ogd/traktanden-sr-2018-bis-heute-mit-beschluesse.txt/download
# Dateigrösse (Angabe in Bytes): 196608
# Dateiformat (Datei Typ und Kürzel des Formats): CSV
# Autor der Datei (Ein oder mehrere Autoren dieser Datei): Ratssekretariat des Stadtrats der Stadt Bern
# Dateibezogene Zusatzinformationen (Der richtige Umgang und Interpretation die es ggf. zu berücksichtigen gilt.): Weitere Informationen zu den einzelnen Traktanden und Geschäfte finden Sie als PDF Datei unter https://www.bern.ch/politik-und-verwaltung/stadtrat/sitzung-geschaeft.



Datum;Traktanden Nr.;Traktandierungstitel;Beschluss Nr.;Traktandumstatus;Beschluss
16.05.2019;3;Interfraktionelle Kleine Anfrage SVP, FDP/JF (Alexander Feuz/Hans Ulrich Gränicher, SVP/Ruth Altmann, FDP): Thunstrasse West: Fragen zum Widerstand der Fussgänger, der Velofahrer und der betroffenen Anwohner und Gewerbler gegen die gefährliche Verkehrsführung!;2019-315;Beschlossen;Kenntnis
16.05.2019;4;Interfraktionelle Kleine Anfrage SVP, FDP/JF (Alexander Feuz/Hans Ulrich Gränicher, SVP/Ruth Altmann, FDP): Thunstrasse West: Welche Konsequenzen drohen Bernmobil und dem Steuerzahler infolge des aufgelegten Projekts?;2019-316;Beschlossen;Kenntnis
16.05.2019;5;Interfraktionelle Kleine Anfrage FDP/JF, SVP (Ruth Altmann, FDP/Alexander Feuz, SVP): Renovations- und Umbauarbeiten an der unteren Thunstrasse zwischen Helvetiaplatz und Thunplatz. Bauvorhaben Thunstrasse 2020 und Sanierung Ostring;2019-317;Beschlossen;Kenntnis
16.05.2019;6;Kleine Anfrage Fraktion BDP/CVP (Michael und Milena Daphinoff, CVP): Wo stehen wir im Zeitplan für die Planung und Entwicklung des Gaswerkareals?;2019-318;Beschlossen;Kenntnis
16.05.2019;7;Kleine Anfrage Fraktion FDP/JF (Christophe Weder/Oliver Berger, FDP): Einspurverkehr Neubrückstrasse-Bollwerk-Lorrainebrücke;2019-319;Beschlossen;Kenntnis
16.05.2019;1;Protokollgenehmigung Stadtrat 2019 (Protokoll Nr. 04 vom 28.02.2019);2019-313;Beschlossen;Genehmigung
16.05.2019;2;Protokollgenehmigung Stadtrat 2019 (Protokoll Nr. 05 vom 14.03.2019);2019-314;Beschlossen;Genehmigung
16.05.2019;15;Interfraktionelle Motion GB/JA!, GFL/EVP, AL/GPB-DA/PdA (Eva Krattiger, JA!/Katharina Gallizzi, GB/Marcel Wüthrich GFL/Matthias Stürmer, EVP/Daniel Egloff, PdA/Luzius Theiler, GPB-DA/Christa Ammann, AL/Tamara Funiciello, JUSO): Keine Rentengelder für die Kriegsmaterialproduktion!;2019-327;Beschlossen;Erheblicherkl.
16.05.2019;17;Motion Fraktion GFL/EVP (Lukas Gutzwiller, GFL/Matthias Stürmer, EVP): Stadtanzeiger auf dem Weg zur Smart City?;2019-329;Beschlossen;Verschiebung
16.05.2019;20;"Postulat Fraktion GB/JA! (Regula Bühlmann/Katharina Gallizzi, GB): Verlängerung von bezahltem Mutterschafts- und Vaterschaftsurlaub bei erschwerten Bedingungen; Fristverlängerung";2019-332;Beschlossen;Fristverl.
16.05.2019;21;"Postulat Fraktion GLP/JGLP (Claude Grosjean, GLP): Bedingter Elternurlaub von maximal 16 Wochen für beide Elternteile bei beidseitiger Erwerbstätigkeit; Fristverlängerung";2019-333;Beschlossen;Fristverl.
16.05.2019;22;"Motion Fraktion SP (Rithy Chheng/Lena Sorg, SP): Längerer Mutterschafts- und Vaterschaftsurlaub für städtische Angestellte bei Zwillingen und Mehrlingen; Fristverlängerung";2019-334;Beschlossen;Fristverl.
16.05.2019;19;Interfraktionelles Postulat GB/JA!, GFL/EVP, SP/JUSO (Regula Bühlmann/Katharina Gallizzi, GB/Bettina Jans-Troxler, EVP/Yasemin Cevik/Lena Sorg, SP): Ein Pilotprojekt für eine Elternzeit für städtische Angestellte;2019-331;Beschlossen;Verschiebung
16.05.2019;24;Postulat Fraktion SP/JUSO (Katharina Altas, SP): Mehr günstige Räume für Kultur und Bildung dank besserer Zusammenarbeit zwischen Immobilien Stadt Bern (ISB)/Koordinationsstelle Zwischennutzung und Jugendamt/Kultur Stadt Bern;2019-336;Beschlossen;Verschiebung
16.05.2019;25;Motion Fraktion SVP (Alexander Feuz, SVP): Zwischennutzungen städtischer Areale: Gleich lange Spiesse für alle! Transparenz und nicht rotgrüne Klientelpolitik ist gefordert!;2019-337;Beschlossen;Verschiebung
16.05.2019;30;Motion Freie Fraktion AL/GaP/PdA (Christa Ammann, AL/Zora Schneider, PdA/Luzius Theiler, GaP/Seraina Patzen, JA!/Tamara Funiciello, JUSO): Steigi 69 bleibt! Kein Abriss auf Vorrat von städtischen Liegenschaften!;2019-342;Beschlossen;Verschiebung
16.05.2019;28;Interfraktionelle Motion GB/JA!, AL/GPB-DA/PdA (Seraina Patzen, JA!/Lea Bill, GB/Christa Ammann, AL/Tabea Rai, AL/Tamara Funiciello, JUSO): Die Stadt Bern braucht eine politische Haltung im Umgang mit Hausbesetzungen;2019-340;Beschlossen;Verschiebung
16.05.2019;29;Postulat Fraktion GFL/EVP (Michael Burkard/Patrik Wyss, GFL): Prüfung der Praxis von Zürich und Genf bei Hausbesetzungen;2019-341;Beschlossen;Verschiebung
16.05.2019;16;Interfraktionelle Interpellation GFL/EVP, GB/JA!, AL/GaP/PdA, GLP/JGLP (Marcel Wüthrich, GFL/Matthias Stürmer, EVP/Katharina Gallizzi, GB/Eva Krattiger, JA!/Christa Ammann, AL/Luzius Theiler, GaP/Peter Ammann, GLP/Lionel Gaudy, BDP): Welche anlagestrategischen Kompetenzen hat der Stadtrat gegenüber der Personalvorsorgekasse?;2019-328;Beschlossen;Kenntnis
16.05.2019;23;"Motion Fraktion AL/GPB-DA/PdA+ (Christa Ammann, AL): Ein Haus der Vereine im Ringhof!; Fristverlängerung";2019-335;Beschlossen;Fristverl.
16.05.2019;26;Interpellation Fraktion SVP (Alexander Feuz, SVP): Wie ernst nimmt der Gemeinderat kritische Parlamentarier und Bürger? Sind Treu und Glauben im staatlichen Handeln des Gemeinderates gewährleistet?;2019-338;Beschlossen;Verschiebung
